#node_index (x, y, z)-coordinates
0 (4.7888, -11.1461, -44.5356)
1 (6.254, -9.5686, -44.3167)
2 (6.3684, -10.1468, -43.9359)
3 (6.8274, -8.9507, -44.2088)
4 (7.5499, -8.3128, -44.1129)
5 (7.7028, -7.6683, -43.9206)
6 (8.5534, -8.7471, -44.2788)
7 (8.6472, -9.5561, -44.524)
8 (9.2944, -8.4912, -44.2373)
9 (9.5225, -8.6375, -43.9945)
10 (9.5208, -8.0443, -44.2133)
11 (9.9347, -7.4483, -44.2655)
12 (10.1736, -7.2981, -44.2146)
13 (9.1756, -6.6201, -44.3493)
14 (8.8094, -6.965, -44.5842)
15 (8.8886, -6.2874, -44.5786)
16 (10.2115, -6.3201, -44.3949)
17 (10.203, -6.7426, -44.2143)
18 (8.9882, -5.642, -44.2204)
19 (9.2504, -5.1242, -44.4849)
20 (8.7145, -5.4617, -44.2226)
21 (8.2012, -5.6117, -44.3634)
22 (10.023, -4.5003, -44.538)
23 (10.9496, -5.2556, -44.3692)
24 (10.7198, -5.3345, -44.5977)
25 (11.2636, -4.7272, -44.3022)
26 (11.4163, -4.2306, -44.1268)
27 (11.8036, -5.0318, -44.4883)
28 (11.7232, -5.2497, -44.3308)
29 (12.2868, -5.3824, -44.5012)
30 (12.4583, -5.2665, -44.2904)
31 (12.9227, -5.3537, -44.3229)
32 (12.4234, -5.622, -44.503)
33 (12.7909, -6.1472, -44.2891)
34 (12.1613, -5.8138, -44.532)
35 (11.498, -5.9671, -44.5987)
36 (11.9322, -6.0365, -44.4398)
37 (8.1532, -3.8724, -44.2189)
38 (7.54, -4.3287, -43.9389)
39 (9.1334, -3.5246, -44.3373)
40 (9.9106, -3.954, -44.2059)
41 (10.1101, -4.3666, -43.9879)
42 (10.5074, -3.6766, -44.3344)
43 (10.1081, -4.1286, -44.6482)
44 (10.6629, -4.2789, -44.6131)
45 (9.9125, -2.7847, -44.5678)
46 (10.7985, -2.9446, -44.311)
47 (11.0495, -2.873, -44.5745)
48 (11.2403, -2.5303, -44.0938)
49 (11.3949, -2.8639, -44.1507)
50 (11.4135, -3.0017, -44.0853)
51 (12.081, -3.3681, -44.1856)
52 (11.1031, -2.5772, -44.4443)
53 (11.7879, -2.7837, -44.5074)
54 (11.9656, -3.0529, -44.5499)
55 (11.34, -3.6444, -44.6528)
56 (10.8187, -3.5737, -44.3485)
57 (11.3155, -3.8097, -44.5394)
58 (11.2863, -3.4269, -44.6281)
59 (12.5786, -3.5189, -44.5629)
60 (12.051, -2.6531, -44.7593)
61 (11.4558, -2.3083, -44.5925)
62 (10.5707, -1.749, -44.2217)
63 (11.1875, -1.8619, -44.5363)
64 (10.9158, -1.4312, -44.5296)
65 (10.2921, -1.5268, -44.1333)
66 (10.0086, -1.8006, -44.015)
67 (10.5642, -1.1474, -44.2718)
68 (10.9274, -1.3209, -44.2843)
69 (11.2746, -0.9922, -44.5487)
70 (10.3968, -0.8855, -44.2995)
71 (12.8512, -1.598, -44.837)
72 (10.9693, 0.1736, -44.6649)
73 (9.585, -1.0314, -44.0454)
74 (10.2017, -0.4719, -44.4209)
75 (10.271, 0.7485, -44.5443)
76 (10.0732, 0.7215, -44.5946)
77 (9.0236, 1.0358, -44.5287)
78 (9.9077, 0.4585, -44.6299)
79 (10.4895, 1.9665, -44.1676)
80 (9.8215, 2.0808, -44.4045)
81 (9.0834, 2.4704, -44.4294)
82 (9.93, 2.324, -44.365)
83 (8.535, -0.6397, -44.3387)
84 (8.4599, -2.4288, -44.4637)
85 (9.503, -1.5899, -44.4842)
86 (9.3714, -1.7759, -44.3768)
87 (10.0629, -1.7663, -44.361)
88 (9.6259, -2.8793, -44.4871)
89 (9.6894, -1.8572, -44.3477)
90 (8.26, -1.5738, -44.3162)
91 (8.6059, -1.3595, -44.1584)
92 (9.2396, -1.0838, -44.2843)
93 (8.9252, -1.5177, -44.2174)
94 (8.7684, -1.7261, -44.2658)
95 (9.1671, -1.8923, -44.1598)
96 (9.643, -2.0351, -44.1859)
97 (9.2206, -2.5036, -43.9325)
98 (9.5501, -2.1534, -43.8249)
99 (8.7764, -2.6366, -44.1339)
100 (9.2139, -3.0754, -43.799)
101 (8.6826, -3.0868, -43.7875)
102 (8.2836, -1.0512, -44.3061)
103 (7.8192, -1.1833, -44.5515)
104 (7.6857, -1.0262, -44.5421)
105 (8.5544, -0.9292, -44.3844)
106 (8.0746, -0.3988, -44.0662)
107 (7.1632, -0.4216, -44.441)
